Anyone can do that.	任何人都可以做到。
How about another piece of cake?	要不要再来一块蛋糕？
She married him.	她嫁给了他。
I don't like learning irregular verbs.	我不喜欢学习不规则动词。
It's a whole new ball game for me.	这对我来说是个全新的球类游戏。
He's sleeping like a baby.	他正睡着，像个婴儿一样。
He can play both tennis and baseball.	他既会打网球，又会打棒球。
We should cancel the hike.	我们应该取消这次远足。
He is good at dealing with children.	他擅长应付小孩子。
She will do her best to be here on time.	她会尽量按时赶来的。
Why are you so good at cooking?	为什么你做饭那么拿手呢？
He has recovered from his bad cold.	他从重感冒中恢复了过来。
It's a dead end.	这是个死胡同。
I rejected the offer.	我拒绝了报价。
He often quotes Milton.	他常引用米尔顿。
Mommy, may I go swimming?	妈咪，我可以去游泳吗？
Miyazaki is not what it used to be.	宫崎不是它往日的样子了。
People must love one another.	人要爱他人。
Where do you have pain?	你哪里痛？
Keep oil away from the fire.	让油远离火。
This is never going to end.	这将永远继续下去。
He had a hungry look.	他面有饥色
I don't know which button to push.	我不知道要按哪个按钮。
He heard the news on the radio.	他从收音机听到了这个消息。
Don't leave the water running.	不要让水一直流。
I'm opposed to any type of war.	我反对任何形式的战争。
I had a hard day.	我过了难挨的一天。
He will succeed to the throne.	他会继承王位。
Please give me something hot to drink.	请给我一些热的东西喝。
Have fun.	玩得开心。
The library is on the second floor.	图书馆在二楼。
Look at me with your books closed.	把你的书合起来看着我。
I still love him.	我依旧爱着他。
His low salary prevents him from buying the house.	他的低薪水让他买不了房。
Hang your coat on the hook.	把你的外套挂在钩子上。
I can't understand his feelings.	我不明白他的感受。
She didn't try to hide the truth.	她没有试图掩盖真相。
Dad bought me a camera.	爸爸给我买了一个照相机。
I love her and she loves me.	我爱她，她也爱我。
The boy has learned to read.	男孩学会了阅读。
You are irresistible.	你是不可抗拒的。
It was heartless of him to say such a thing to the sick man.	他对一个生病的男人说这种事真是没良心。
He calls her up every night.	他每天晚上打电话给她。
They left one after another.	他们一个接着一个地离开了。
Father always has the tailor make his suits.	父亲总是让这位裁缝师为他做西装。
We got him to carry our bag.	我们让他帮我们拿袋子。
He drove the truck to Dallas.	他开卡车到达拉斯。
The baby smiled at me.	宝宝对我笑了。
Did he propose to you?	他向你求婚了吗？
Cheese is made from milk.	奶酪是用奶做成的。
I help my mother with the housework every day.	我每天都帮我妈做家务。
I spoke with him about the matter.	我跟他谈过这个问题。
The friend who I thought would pass the exam failed it.	那个我认为会通过考试的朋友失败了。
They are very big apples.	他们是非常大的苹果。
How dare you!	你敢！
He must have taken the wrong train.	他一定是搭错火车了。
I understand how to solve the problem.	我明白怎么解决问题。
How many children do you have?	你有几个小孩?
He no longer lives here.	他不再住在这里了。
He is the same age as me.	他和我同岁。
Industry as we know it today didn't exist in those days.	我们今天所认识的工业在那个时代不存在。
That boy used to drop in on me.	那男孩儿来访过我家。
I think you'll have very little difficulty in getting a driver's license.	我想你要拿到驾照根本不难。
Run.	你用跑的。
He told me to do it, so I did it.	他让我做，我就做了。
That is not my line.	这不是我拿手的。
She lives in a large house.	她住在一栋大房子里。
A doctor told me that eating eggs was bad for me.	一位医生告诉过我，吃鸡蛋对我的健康有害。
She asked him to open the window.	她请他打开窗口。
She has a flower in her hand.	她手上有一朵花。
I have just finished my homework.	我刚刚完成我的作业。
You look pale today.	你今天看上去很苍白。
I'm counting how many people there are.	我正在算有多少人在那里。
I felt that my honor was at stake.	我觉得我的名誉受到了威胁。
Money isn't the only thing that matters.	不只是钱关系重大。
Tom just never should've done that.	汤姆就不该做那事。
I don't want there to be any misunderstanding.	我不想有任何误会。
He may not be happy.	他可能不高兴。
The hunter shot the fox dead.	猎人射杀了狐狸。
He goes to school to study every day.	他每天去学校学习。
I spent last Sunday reading a novel.	我上周日花时间看了一本小说。
Mary closed the door quietly.	玛丽悄悄地关上了门。
You smoke far too much. You should cut back.	你吸太多烟了。你应该少抽一点。
I wish I could have spoken Spanish.	要是我会说西班牙语就好了。
There's nothing I wouldn't do for Tom.	没有我不会给汤姆做的事。
Tom was making French fries.	汤姆想做炸薯条。
I study for 3 hours every day.	我每天读书三个小时。
He was home alone at the time.	他当时一个人在家。
I'm tired of listening to his boasts.	我厌倦了听他吹嘘。
Because of heavy snow, the plane from Beijing arrived 20 minutes late.	由于下大雪，从北京来的班机延迟二十分钟。
You may use my new car.	你可以使用我的新车。
Where is the vodka?	伏特加在哪里？
If a person has not had a chance to acquire his target language by the time he's an adult, he's unlikely to be able to reach native speaker level in that language.	如果一个人在成人前没有机会习得目标语言，他对该语言的认识达到母语者程度的机会是相当小的。
